,user,architecture,train_time,avg_time_epoch,mse,rmse,mape,mae
0,user7,global_soft_bilstm,4.509494304656982,4.33843207359314,0.016444778069853783,0.12823718786239624,44030.984375,0.08360057324171066
1,user7,global_soft_bilstm,4.472787618637085,4.32463526725769,0.016459815204143524,0.12829580903053284,53329.2109375,0.08316902816295624
2,user7,global_soft_bilstm,4.478824615478516,4.323280334472656,0.01698855496942997,0.13034014403820038,6533.7138671875,0.07796578854322433
3,user7,global_soft_bilstm,4.494537115097046,4.347627639770508,0.016329864040017128,0.12778834998607635,57686.49609375,0.08062352240085602
4,user7,global_soft_bilstm,4.492735147476196,4.329517364501953,0.0160042867064476,0.12650805711746216,31052.37109375,0.0774783194065094
5,user14,global_soft_bilstm,4.465178728103638,4.302040338516235,0.021746255457401276,0.14746612310409546,297432.84375,0.09311074763536453
6,user14,global_soft_bilstm,4.4249207973480225,4.283337354660034,0.021215815097093582,0.1456564962863922,341864.71875,0.08906270563602448
7,user14,global_soft_bilstm,4.4866955280303955,4.336190223693848,0.021439608186483383,0.14642269909381866,326878.21875,0.08982539921998978
8,user14,global_soft_bilstm,4.484821081161499,4.3481926918029785,0.021980658173561096,0.1482587605714798,317358.25,0.09260731935501099
9,user14,global_soft_bilstm,4.417744874954224,4.275614261627197,0.021856997162103653,0.14784112572669983,383614.875,0.09674068540334702
10,user18,global_soft_bilstm,4.421574831008911,4.277199029922485,0.03342195600271225,0.18281672894954681,278704.53125,0.11736679822206497
11,user18,global_soft_bilstm,4.498271942138672,4.355223655700684,0.03275756910443306,0.18099051713943481,311107.875,0.12021638453006744
12,user18,global_soft_bilstm,4.467957496643066,4.3204662799835205,0.03309206664562225,0.18191224336624146,314938.46875,0.11814671754837036
13,user18,global_soft_bilstm,4.466912031173706,4.318415880203247,0.03226179629564285,0.17961569130420685,359781.59375,0.12196177244186401
14,user18,global_soft_bilstm,4.4652650356292725,4.315244436264038,0.03362041711807251,0.18335871398448944,294723.03125,0.11864329874515533
15,user22,global_soft_bilstm,4.460235595703125,4.304650783538818,0.015014908276498318,0.1225353330373764,38539.3203125,0.07662054151296616
16,user22,global_soft_bilstm,4.495294570922852,4.3490447998046875,0.015203387476503849,0.12330202013254166,54111.04296875,0.07808012515306473
17,user22,global_soft_bilstm,4.452803373336792,4.314452648162842,0.015704303979873657,0.1253168135881424,19267.16015625,0.0722089558839798
18,user22,global_soft_bilstm,4.4584197998046875,4.30257248878479,0.015195799991488457,0.12327124923467636,41306.03125,0.0732215940952301
19,user22,global_soft_bilstm,4.47440767288208,4.317220211029053,0.015237190760672092,0.1234390139579773,52220.36328125,0.07853171229362488
20,user23,global_soft_bilstm,4.438243389129639,4.290710210800171,0.020973743870854378,0.14482314884662628,44801.9609375,0.0853361263871193
21,user23,global_soft_bilstm,4.48201060295105,4.344330072402954,0.020664332434535027,0.14375093579292297,52454.33984375,0.08665376901626587
22,user23,global_soft_bilstm,4.483472108840942,4.333317041397095,0.02049509808421135,0.1431610882282257,66415.75,0.08793310821056366
23,user23,global_soft_bilstm,4.4983298778533936,4.341195106506348,0.020895693451166153,0.14455342292785645,35890.4375,0.08338690549135208
24,user23,global_soft_bilstm,4.467088460922241,4.321244955062866,0.020746896043419838,0.14403782784938812,74925.4921875,0.08995850384235382
25,user25,global_soft_bilstm,4.499203443527222,4.3501362800598145,0.03412621468305588,0.1847328245639801,204927.921875,0.11030808091163635
26,user25,global_soft_bilstm,4.480506896972656,4.33460545539856,0.036214496940374374,0.1903010755777359,242820.453125,0.12328051030635834
27,user25,global_soft_bilstm,4.4781813621521,4.323505640029907,0.03495015203952789,0.18694959580898285,184937.375,0.1132722720503807
28,user25,global_soft_bilstm,4.461458683013916,4.313175916671753,0.03470829129219055,0.18630161881446838,209508.78125,0.11394495517015457
29,user25,global_soft_bilstm,4.468352317810059,4.319523572921753,0.03486240655183792,0.186714768409729,208821.25,0.11068708449602127
30,user29,global_soft_bilstm,4.429069519042969,4.278294086456299,0.01965196244418621,0.14018546044826508,209071.265625,0.09673144668340683
31,user29,global_soft_bilstm,4.465333461761475,4.320492267608643,0.019672200083732605,0.14025762677192688,238415.09375,0.10017308592796326
32,user29,global_soft_bilstm,4.434494495391846,4.296839475631714,0.019800595939159393,0.1407145857810974,211437.515625,0.09558816254138947
33,user29,global_soft_bilstm,4.460628271102905,4.335269212722778,0.020603492856025696,0.1435391753911972,177733.46875,0.09621147811412811
34,user29,global_soft_bilstm,4.445345401763916,4.301590204238892,0.0224214568734169,0.14973795413970947,144674.28125,0.09879501909017563
35,user6,global_soft_bilstm,4.418677806854248,4.290113925933838,0.018665986135601997,0.13662351667881012,177756.484375,0.09404584765434265
36,user6,global_soft_bilstm,4.456221580505371,4.304436683654785,0.018667910248041153,0.1366305649280548,210677.78125,0.09646683931350708
37,user6,global_soft_bilstm,4.441766023635864,4.294084072113037,0.019065771251916885,0.13807885348796844,180634.4375,0.09452284872531891
38,user6,global_soft_bilstm,4.435014247894287,4.307839393615723,0.019022807478904724,0.1379231959581375,199972.0625,0.09594106674194336
39,user6,global_soft_bilstm,4.418582439422607,4.278027057647705,0.01833157427608967,0.1353941410779953,209709.28125,0.09658839553594589
40,user3,global_soft_bilstm,4.406146764755249,4.258720397949219,0.019488291814923286,0.139600470662117,132291.5625,0.08675071597099304
41,user3,global_soft_bilstm,4.434522867202759,4.288337707519531,0.019804909825325012,0.14072991907596588,113145.8671875,0.08431985229253769
42,user3,global_soft_bilstm,4.434664487838745,4.293441295623779,0.020288405939936638,0.14243736863136292,111955.9921875,0.08682797104120255
43,user3,global_soft_bilstm,4.4350244998931885,4.2844672203063965,0.02045844867825508,0.14303302764892578,86288.0078125,0.0845862403512001
44,user3,global_soft_bilstm,4.409772157669067,4.265685081481934,0.01959274336695671,0.13997408747673035,106929.734375,0.08277161419391632
45,user4,global_soft_bilstm,4.4355809688568115,4.2796478271484375,0.009775788523256779,0.0988725870847702,144213.921875,0.064703568816185
46,user4,global_soft_bilstm,4.427761077880859,4.299549579620361,0.009201317094266415,0.09592349827289581,144434.03125,0.061185743659734726
47,user4,global_soft_bilstm,4.389575719833374,4.25514554977417,0.009582524187862873,0.09789036959409714,132386.5625,0.0640135332942009
48,user4,global_soft_bilstm,4.43549656867981,4.297315359115601,0.009679163806140423,0.09838274121284485,146604.921875,0.06243766471743584
49,user4,global_soft_bilstm,4.415641784667969,4.264055252075195,0.009916448034346104,0.09958136081695557,191680.296875,0.06565829366445541
50,user9,global_soft_bilstm,4.438399791717529,4.293680667877197,0.017696622759103775,0.13302865624427795,355850.59375,0.08552029728889465
51,user9,global_soft_bilstm,4.4228246212005615,4.2850000858306885,0.017823444679379463,0.1335044801235199,332284.84375,0.08065462112426758
52,user9,global_soft_bilstm,4.448559761047363,4.304559230804443,0.01784621924161911,0.1335897445678711,346624.0,0.08136779814958572
53,user9,global_soft_bilstm,4.4247212409973145,4.288832664489746,0.017831647768616676,0.13353519141674042,358403.75,0.08036718517541885
54,user9,global_soft_bilstm,4.444011926651001,4.293462514877319,0.017897550016641617,0.13378173112869263,362566.34375,0.08297564834356308
55,user13,global_soft_bilstm,4.447190999984741,4.3102734088897705,0.018168726935982704,0.13479141891002655,25258.47265625,0.06959371268749237
56,user13,global_soft_bilstm,4.421376705169678,4.269679069519043,0.017556503415107727,0.13250096142292023,15893.154296875,0.0739959180355072
57,user13,global_soft_bilstm,4.434561252593994,4.279901504516602,0.017393598333001137,0.13188479840755463,1752.4412841796875,0.07264254242181778
58,user13,global_soft_bilstm,4.409036874771118,4.258621454238892,0.01747225597500801,0.13218265771865845,5229.3828125,0.07435740530490875
59,user13,global_soft_bilstm,4.43025803565979,4.298591375350952,0.017301620915532112,0.1315356194972992,7575.810546875,0.07215945422649384
60,user15,global_soft_bilstm,4.429117918014526,4.280961751937866,0.013881390914320946,0.11781931668519974,75099.8046875,0.06416527181863785
61,user15,global_soft_bilstm,4.417250871658325,4.266254425048828,0.01377022173255682,0.11734658479690552,74013.2109375,0.0640697106719017
62,user15,global_soft_bilstm,4.438746690750122,4.287153482437134,0.013918004930019379,0.11797459423542023,79909.7890625,0.06923997402191162
63,user15,global_soft_bilstm,4.406528949737549,4.2519004344940186,0.013837290927767754,0.11763201653957367,76631.578125,0.06549446284770966
64,user15,global_soft_bilstm,4.4374306201934814,4.289590835571289,0.0139378746971488,0.11805877834558487,76216.5,0.06736065447330475
65,user19,global_soft_bilstm,4.411128282546997,4.26606822013855,0.016522351652383804,0.1285392940044403,68871.765625,0.06855086237192154
66,user19,global_soft_bilstm,4.517901420593262,4.370335578918457,0.017021050676703453,0.13046474754810333,77435.375,0.07191415876150131
67,user19,global_soft_bilstm,4.421070337295532,4.280085802078247,0.01639174483716488,0.12803025543689728,71353.171875,0.06859140843153
68,user19,global_soft_bilstm,4.43320107460022,4.295528411865234,0.017141452059149742,0.13092537224292755,91355.6796875,0.07180143892765045
69,user19,global_soft_bilstm,4.431117534637451,4.276834487915039,0.016832880675792694,0.1297415941953659,84210.5,0.06984364986419678
70,user20,global_soft_bilstm,4.472898721694946,4.323530435562134,0.011774030514061451,0.10850820690393448,90580.2890625,0.06295324116945267
