,cluster,architecture,total_time,total_time_std,time_epoch,time_epoch_std,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,cluster_0,Dense,0.969207728350604,0.06595789749174952,0.8961542359104864,0.06564256145281304,0.01566199605629119,0.0002955892569642396,0.12308551964384533,0.001154375104646011,349075.0653211806,41529.8603983295,0.07628253316161805,0.0023233457836638444
1,cluster_1,Dense,0.9310120741526284,0.0,0.858222246170044,0.0,0.0171155153463284,0.0005870672021012,0.1308133751153946,0.0022504024607298,497208.8229166667,32368.69009736826,0.0956243003408114,0.0017789235153348
2,cluster_2,Dense,0.957171328862508,0.05437809909640543,0.8843521436055501,0.05420732176387315,0.020348570371667478,0.0006465621224471614,0.14176723112662631,0.00217517866079402,149844.8854166667,14317.847879948964,0.09645819415648775,0.00238031754528688
3,cluster_3,Dense,0.9281332890192667,0.00878456880811455,0.8552254305945503,0.007608432766268671,0.01928825226301943,0.0004895224038196834,0.13812935186756978,0.0016958532308557833,68552.21363343133,6671.509928964988,0.08532187404731904,0.0019700650328021998
4,Mean,Dense,0.9463811050962517,0.03228014134906737,0.8734885140701576,0.03186457899573871,0.018103583509326625,0.0005046852463330711,0.133448869438359,0.0018189523642564037,266170.24682198634,23721.97707615293,0.08842172542655907,0.002113162969271931
