,cluster,architecture,total_time,total_time_std,time_epoch,time_epoch_std,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,cluster_0,MoE_TopkGating_Dense,1.7654001801102248,0.05097127650554043,1.6682545123276886,0.05104906370965792,0.01581709746581808,0.0002057650324371646,0.1238104783826404,0.0008465374491175445,333773.08412905096,50632.58129044154,0.07583314856445345,0.0020734815206986056
1,cluster_1,MoE_TopkGating_Dense,1.7565447489420574,0.0,1.6601885159810383,0.0,0.0177748501300811,0.0005992721397902,0.1333098063866297,0.0022404024119701,403799.625,96853.81250240476,0.0943341975410779,0.0046863130727759
2,cluster_2,MoE_TopkGating_Dense,1.783781369527181,0.06967560251403832,1.6862394491831463,0.06999756298779587,0.019401718179384804,0.0007614454471820805,0.1386439854900042,0.00252304710582942,164268.49010416667,13107.708686897124,0.09395424773295714,0.00291941165634092
3,cluster_3,MoE_TopkGating_Dense,1.8345105250676472,0.0881446173591678,1.737593200471666,0.08803334953217322,0.01981666135705175,0.00041256558962651666,0.14000438609057,0.0014060270233361499,79356.29317262438,6509.593812441049,0.08817582784427531,0.00321545360716635
4,Mean,MoE_TopkGating_Dense,1.7850592059117776,0.05219787409468664,1.688068919490885,0.05226999405740675,0.018202581783083933,0.0004947620522589905,0.13394216408746107,0.0017540034975633036,245299.37310146051,41775.92407304612,0.08807435542069095,0.0032236649642454437
