,cluster,architecture,total_time,total_time_std,time_epoch,time_epoch_std,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,cluster_0,CNN,1.344546984743189,0.05824578782700353,1.2610462065096257,0.05925303452373127,0.02587345377024671,0.00024503992266612857,0.15868898826064887,0.000747182806623011,519011.82074652775,19431.707284637643,0.10085286475993965,0.0013779129377934167
1,cluster_1,CNN,1.2814664045969646,0.0,1.204956849416097,0.0,0.0326304497818152,0.000635643630597,0.1806333164374033,0.0017550256141475,1389981.7916666667,76479.54616945931,0.1432771881421407,0.0004504095455858
2,cluster_2,CNN,1.291335662206014,0.007176970075621951,1.2092978477478027,0.00773156208920215,0.046929885943730605,0.0012355448268888398,0.21090431710084276,0.00258465827548026,173534.82552083334,13397.278237933007,0.15724792728821432,0.00286020869828704
3,cluster_3,CNN,1.3809691005282934,0.08788462670003684,1.2970376147164238,0.08620419334537953,0.03331421905507639,0.0005206823141171,0.17895932992299393,0.00133672392275925,90644.00639555189,4521.472721191866,0.11444494086835116,0.0011925614824624833
4,Mean,CNN,1.3245795380186152,0.038326846150665575,1.2430846295974873,0.03829719748957824,0.03468700213771723,0.0006592276735672671,0.1822964879304722,0.0016058976547525053,543293.111082395,28457.501103305454,0.12895573026466145,0.001470273166032185
