,User,Round,CD_mae_count,CD_ks_count,RMSE_BiLSTM,MAE_BiLSTM,MSE_BiLSTM,RMSE_CNN,MAE_CNN,MSE_CNN,RMSE_Transformer,MAE_Transformer,MSE_Transformer,RMSE_soft_dense,MAE_soft_dense,MSE_soft_dense,RMSE_soft_bilstm,MAE_soft_bilstm,MSE_soft_bilstm,RMSE_topk_dense,MAE_topk_dense,MSE_topk_dense,RMSE_topk_bilstm,MAE_topk_bilstm,MSE_topk_bilstm
0,8,1,30,103,0.1294128461889356,0.07765999045763072,0.0167476847587211,0.271855978642314,0.21550901926898391,0.07390567312357027,0.28765414899365715,0.19701915467279352,0.08274490943326511,0.15306316430480077,0.09565420810312533,0.023428332266998433,0.12092393439644217,0.07528666992954991,0.01462259790991505,0.14581077121393174,0.0940305035328739,0.021260781002001544,0.12874574351411658,0.07455930222376263,0.016575466473002693
1,15,1,29,103,0.12473333114053012,0.07480484624117274,0.01555840389741314,0.2665612901519317,0.21160120263625973,0.07105492140746231,0.2827582002590448,0.19445397248695553,0.07995219981373407,0.15050232708282724,0.09370711788146634,0.022650950457346313,0.11869969671718407,0.07328788134739303,0.014089618000751479,0.14336154846476293,0.09239797949132231,0.02055253357821457,0.12659264568054185,0.07267767711843265,0.01602569794039921
2,19,1,31,103,0.11654693375091732,0.06889281027504791,0.013583187766740711,0.250010850477137,0.20092248526569417,0.06250542535630135,0.26412684564432143,0.18121542973761653,0.0697629905900192,0.13975894702513825,0.0863147986173399,0.0195325632735754,0.1107899957730193,0.06789742477525017,0.012274423163385634,0.13260955689758053,0.08479436178695698,0.01758529458057265,0.11740882684957299,0.06660835355971519,0.013784832622193011
3,23,1,28,103,0.12293960812396754,0.07069984662989671,0.015114147245674704,0.25402546692707445,0.2020342476129705,0.06452893784751819,0.26541815039053934,0.16871914739136817,0.07044679455673497,0.15261059409506467,0.09071288866838245,0.02328999343004859,0.12124230438282055,0.07085311863442362,0.014699696372056505,0.1476542231278521,0.09107321853126214,0.02180176960748953,0.12952629801445445,0.06915203998300865,0.016777061877329268
4,24,1,22,103,0.06585143171284508,0.04227592978674381,0.004336411058631499,0.1682144139379325,0.15268034024967564,0.028296089056482097,0.16718511078133022,0.11712530628774524,0.027950861266965655,0.08044681160926855,0.055013562629955694,0.006471689498097145,0.06325840238036742,0.043408771316566196,0.004001625471716475,0.07517732255574835,0.05390060330098417,0.005651629826651031,0.06711281296902871,0.040542259312128764,0.0045041296646158285
5,26,1,34,103,0.12763725824151909,0.07548137261589623,0.016291269691412234,0.2602743731255037,0.20629241776637014,0.06774274930587393,0.2781790162899782,0.185288390365026,0.07738356510405997,0.15926132330074835,0.09635900229836031,0.025364169099505493,0.12681228220636984,0.07462503559287546,0.016081354918387983,0.1532966669382364,0.09674597748418816,0.02349986809437258,0.13559558632292398,0.07554256041072134,0.018386163030257526
6,30,1,30,103,0.1265783600158564,0.0673789147799046,0.016022081224303753,0.2533491382264228,0.19401066197390301,0.06418578584007109,0.262312303009005,0.1603593479529893,0.06880774430988805,0.14810050738854894,0.08254893363553872,0.02193376028874564,0.12004816858693237,0.0677518355244958,0.014411562781076536,0.1427286493138512,0.08193723245925179,0.020371467334956317,0.1272976652826644,0.06573288985036214,0.01620469558641726
7,7,1,30,103,0.13787750152538644,0.0770508217661321,0.01901020542688294,0.23947489584298065,0.18601281209483053,0.05734822573900643,0.24308395757963305,0.13932767720732625,0.059089810432576835,0.11865912932079152,0.07671157096960501,0.014079988971168324,0.11561299906945582,0.05850966909462411,0.013366365553833992,0.1296123682890371,0.07958762917137438,0.016799366013492995,0.10759032653640896,0.057401062050004205,0.011575678364211105
8,4,1,28,103,0.15285381674329868,0.0853293542072602,0.023364289292993935,0.2762195697167091,0.21190471195685823,0.07629725069448391,0.28786673155842785,0.2251974445157528,0.08286725513813195,0.1507352525312928,0.09120147279491644,0.022721116355672612,0.1455115880687876,0.08885748967694679,0.02117362226230053,0.13530335955283268,0.08467637875494147,0.01830699910628312,0.13185681690700782,0.07999152235934355,0.017386220164848185
9,5,1,35,103,0.1524976790743867,0.08429702747691169,0.023255542123074638,0.2602382086305578,0.20474568233186263,0.06772392523124172,0.271772051614171,0.21179347579383787,0.07386004803857563,0.15458069547088732,0.09348769808811726,0.023895191412263206,0.14804780786390967,0.08744737492794216,0.021918153413309112,0.13584093709920939,0.08596169353019421,0.018452760191991362,0.13150543382433674,0.08014422522951944,0.017293679125327012
