,cluster,architecture,total_time,total_time_std,time_epoch,time_epoch_std,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,cluster_0,BiLSTM,74.33853327786481,18.12732751822461,2.553019232189963,0.03932344952153212,0.017413205717241826,0.0007732522770268612,0.1298165835992053,0.002824744952668044,315244.6735387731,38645.29634001165,0.07987839425051647,0.0039012268090096508
1,cluster_1,BiLSTM,56.53172469139099,0.0,2.5992369663731067,0.0,0.0200386438518762,0.0024620452076613,0.1413841297229131,0.0085882141808202,531341.375,78721.01669476222,0.1009436125556628,0.003674126752612
2,cluster_2,BiLSTM,72.52371986707051,12.089525509816685,2.5793154192992764,0.044762311133904525,0.024477376230061017,0.003696124451521738,0.15426779439051944,0.010923910045390058,118564.80703125,43998.699134102186,0.10506659299135204,0.0088863232359623
3,cluster_3,BiLSTM,82.19794327682918,26.638801680901736,2.5547626550452915,0.0594671169206532,0.022833743701792367,0.0007108783902191168,0.14991356887751153,0.0022774377852760497,66628.08552975125,4802.512692084146,0.09307402662105026,0.0038727036833137497
4,Mean,BiLSTM,71.39798027828887,14.213913677235759,2.5715835682269095,0.03588821939402246,0.021190742375242853,0.0019105750816072538,0.14384551914753732,0.006153576741038588,257944.73527494358,41541.88121524005,0.0947406566046454,0.005083595120224426
