,cluster,architecture,total_time,total_time_std,time_epoch,time_epoch_std,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,cluster_0,CNN,8.291330960061812,1.2711566884013645,0.4526022520926849,0.026636499937508693,0.025857189618464935,0.00044258467084368116,0.1586775316132439,0.0013332509691063308,538277.6888020834,35593.27566493551,0.10146646049839475,0.0022943031856317224
1,cluster_1,CNN,9.129847844441732,0.0,0.4311440581756042,0.0,0.0333132942517598,0.0011811976663667,0.1824999898672104,0.0032500796114748,1322784.6666666667,133199.33638432273,0.1430426239967346,0.0006860641655849
2,cluster_2,CNN,8.66914143562317,1.5240904463302183,0.4490401252298491,0.018210357071407435,0.0472037602216005,0.0014821447695125799,0.21159491141637168,0.00301275322301808,166501.8953125,14314.572819485795,0.15676602274179458,0.00263419463842528
3,cluster_3,CNN,8.428565224011738,2.1011588247149815,0.45775120304992784,0.028818876236620623,0.03409682297044325,0.0006619052447344613,0.18069278117683196,0.0015629929468393333,87519.02424960666,5065.809328271268,0.11486791239844422,0.0015232972902908001
4,Mean,CNN,8.629721366034612,1.2241014898616411,0.4476344096370165,0.01841643331138419,0.03511776676556712,0.0009419580878643556,0.1833663035184145,0.0022897691876096363,528770.8187577141,47043.248549253825,0.12903575490884203,0.0017844648199831755
