,architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
1,lstm_soft_with_loss,66.300825881958,2.0303990473881166,0.014986886642873287,0.0011892097379541545,0.122344371676445,0.004840092299547312,88108.57890625,30504.852710641582,0.0804587721824646,0.00832280654086887
2,lstm_soft_with_loss,57.648056983947754,2.1060036549369583,0.013054242171347142,0.00037430198829433456,0.11424578130245208,0.0016368374619746176,77803.833203125,36923.824689621455,0.0687194973230362,0.004454513022591158
3,lstm_soft_with_loss,43.58619046211243,2.1129071886095647,0.00463153263553977,0.0007515738127055,0.06787560060620308,0.0055267197972611645,46345.92421875,32227.89223029547,0.04236019439995289,0.0085758221441174
4,lstm_soft_with_loss,51.66213111877441,2.089301785834877,0.004528159415349365,0.00060392829383355,0.0671742744743824,0.004440745690511913,176045.8546875,79390.67167389698,0.04435430616140366,0.008745253319296663
5,lstm_soft_with_loss,51.572843074798584,2.1114305253543253,0.01996348612010479,0.0006433982546069777,0.1412774294614792,0.002284158848602746,63331.04375,32971.01086546408,0.09539934098720551,0.0048462911487323805
6,lstm_soft_with_loss,60.47064580917358,2.2030283400437876,0.009831023588776588,0.000710754613546262,0.09909975081682205,0.003581715581649662,40968.8984375,26889.51136529333,0.06615784540772437,0.00824408639438981
7,lstm_soft_with_loss,49.91408929824829,2.1484085781198123,0.015836207568645476,0.0011609960155063378,0.12577483654022217,0.004595948386099629,21722.71484375,11694.48035975635,0.08431823402643204,0.004954176040973685
8,lstm_soft_with_loss,66.98947687149048,2.1133974395338675,0.013898126035928726,0.0005393356145974444,0.11787260770797729,0.0022844217354035237,100067.5203125,42840.9450267889,0.05615926086902619,0.005446572639508516
9,lstm_soft_with_loss,54.41037712097168,2.152128974744542,0.013485703431069852,0.0010014648150659343,0.11606568694114686,0.004251429696427762,25862.9359375,19620.525627745425,0.07912540435791016,0.0016402967449641876
10,lstm_soft_with_loss,79.9430112361908,2.482575224734046,0.014004501886665821,0.0014107044241253482,0.11822135001420975,0.005938655819289723,51988.240625,11722.602067938882,0.07989147305488586,0.007225554631062192
11,lstm_soft_with_loss,54.556353616714475,2.4595738503919082,0.01365470327436924,0.0021065450505720687,0.1165764719247818,0.008988115955806944,129361.0234375,24206.578772492747,0.08116637170314789,0.010746413930268641
12,lstm_soft_with_loss,67.24586110115051,2.3667580228392517,0.019089163467288017,0.0003447583493045356,0.13815902769565583,0.001248039550558982,48698.119140625,20559.03068869131,0.07509479522705079,0.004672053796489193
13,lstm_soft_with_loss,72.1483717918396,2.326213506417397,0.010222571529448032,0.0003794623109906668,0.10109292119741439,0.0018683725307019634,265244.6953125,93073.70543631239,0.0655863955616951,0.004835930798447951
14,lstm_soft_with_loss,36.46117510795593,2.4353165052122976,0.0075795060954988005,0.00014499392866588594,0.0870571956038475,0.0008298930929106955,212356.29375,32847.29548343142,0.055925813317298886,0.0026815635265770347
15,lstm_soft_with_loss,65.01672496795655,2.581426643961728,0.020216619968414305,0.0008089992815037023,0.14216242134571075,0.0028428589979736267,70223.225,31457.336906906912,0.09829989522695541,0.00514886978288883
16,lstm_soft_with_loss,85.61779098510742,2.4975901950840673,0.02572845444083214,0.0006399620090055119,0.16039104759693146,0.001989437650667422,116478.6703125,44679.018588153114,0.11292363554239274,0.005435061610072905
17,lstm_soft_with_loss,88.27056241035461,2.398282305896591,0.014845946617424489,0.00030839309110301425,0.12183868736028672,0.001265428227225524,125047.8359375,29089.08562571889,0.08208088129758835,0.0023236361883320973
18,lstm_soft_with_loss,62.84183897972107,2.3843294480678647,0.012584440410137177,0.0003245469841740283,0.11217280328273774,0.0014589228566959196,46289.8138671875,30085.40795644201,0.061779577285051346,0.0025718429384245156
19,lstm_soft_with_loss,64.84245510101319,2.370051211396168,0.013034609891474248,0.0018266777690263798,0.11395862698554993,0.00774930663341788,196518.121875,43913.87596483799,0.06997681856155395,0.0110697145521988
20,lstm_soft_with_loss,54.875045680999754,2.4995423965091943,0.01346421279013157,0.001213746103456605,0.11594498306512832,0.005120261454336374,49277.768359375,13893.0074085212,0.08969044387340545,0.0040987641052772
21,lstm_soft_with_loss,58.93291897773743,2.626098024677812,0.01644419729709625,0.0013021636632342898,0.1281558319926262,0.00503492228899382,43125.351171875,14821.759453026336,0.08677666932344437,0.009704279584725589
22,lstm_soft_with_loss,53.672165107727054,2.57738056868977,0.01458063032478094,0.0005551136526793503,0.1207328975200653,0.002290677782563278,60067.26328125,18719.71127772359,0.0697374626994133,0.002167917481351242
23,lstm_soft_with_loss,94.4350483417511,2.4439006719387635,0.00880242483690381,0.0017890483861366369,0.09347407668828964,0.009015369131602792,76417.97890625,11306.345579498005,0.06815412417054176,0.010861580783151354
24,lstm_soft_with_loss,74.69032006263733,2.3981963813474185,0.03613816574215889,0.0014400654775039159,0.1900695502758026,0.00382932372601278,216355.1125,55250.08081532463,0.11820099651813507,0.0023861613724602726
25,lstm_soft_with_loss,78.06092596054077,2.402835462904622,0.01937018074095249,0.001369895399517918,0.13910931944847107,0.004844940987263334,31966.8744140625,25971.630599790904,0.08988128751516342,0.0043635810983887685
26,lstm_soft_with_loss,73.52415752410889,2.3996715963471393,0.010419684648513793,0.00014105437575854274,0.10207498371601105,0.000691263934604372,155345.396875,38490.20434797354,0.06072411388158798,0.002028449050624565
27,lstm_soft_with_loss,51.12658267021179,2.727888985177513,0.014760631509125233,0.0011902445964538954,0.12141601145267486,0.00484546276991679,210301.3109375,77998.4533567399,0.07449554651975632,0.00756137244816958
28,lstm_soft_with_loss,64.10297307968139,2.6531453521739556,0.01746160611510277,0.0008993629605857025,0.13210701644420625,0.003417233984376587,123870.996875,32789.3159664741,0.08847484290599823,0.004172736539341034
29,lstm_soft_with_loss,66.07487521171569,2.604825264707157,0.022648423537611963,0.0010536187257397624,0.15046161115169526,0.003486950756808962,48582.8611328125,40783.02042394563,0.09690593630075454,0.004508655378200119
