,architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,lstm_topk_with_loss,110.64640927314758,3.00188687045745,0.02350228317081928,0.0011395834444971236,0.15326860845088958,0.0037109075132838545,390484.06875,102969.24272978278,0.09789608120918274,0.013387627785155558
1,lstm_topk_with_loss,58.27099585533142,2.962515906858583,0.015050516277551652,0.0010422378483161492,0.12262337505817414,0.0041869752549716045,142619.8140625,65316.477579355604,0.07938812375068664,0.004749138874061923
2,lstm_topk_with_loss,65.70729866027833,2.9001683029003478,0.014274048060178757,0.0017459193824855691,0.11930298507213592,0.007145454425363895,93223.13671875,33621.20772478471,0.07926602959632874,0.012005123614822212
3,lstm_topk_with_loss,52.83299684524536,2.927653935721974,0.006123474752530456,0.0025851230265773926,0.0769736759364605,0.01575309205884946,47111.3578125,18967.191007085206,0.051502786576747894,0.01597986518094582
4,lstm_topk_with_loss,72.04691429138184,2.9035857285988222,0.0055594732984900475,0.0010075240629528167,0.07432387471199035,0.006655348138987924,329992.253125,87891.10825310228,0.054843521863222125,0.010885732413982633
5,lstm_topk_with_loss,69.8161195755005,2.9045170480757383,0.02013193294405937,0.0005275644185766156,0.1418772667646408,0.0018619724471983286,67580.77109375,18195.719057048165,0.099327352643013,0.003981952000031216
6,lstm_topk_with_loss,67.13039560317993,2.9077272660883047,0.009500617906451226,0.00046859630102442766,0.09744737446308135,0.0024049828069623897,45023.3181640625,24058.471082519885,0.06489409580826759,0.005990001413762909
7,lstm_topk_with_loss,86.58824896812439,3.160486069278081,0.018442092463374138,0.002392212474114158,0.13557875752449036,0.008695714622110103,14740.0484375,10839.676679657074,0.08890168815851211,0.003451406735484238
8,lstm_topk_with_loss,84.62612662315368,3.269961182170929,0.013678131811320781,0.0002856958755067402,0.11694840341806412,0.0012261905218792378,110739.6828125,37086.646282665715,0.05634962022304535,0.0014604035766319552
9,lstm_topk_with_loss,95.74756321907043,3.2963965762229193,0.016199784725904463,0.001878508288835615,0.12710842490196228,0.0073512145779494635,28340.348376464844,28874.16380746405,0.08562993258237839,0.002567821515932835
10,lstm_topk_with_loss,104.17308683395386,3.2705471918542726,0.013290081173181534,0.0006911716090249876,0.11525222063064575,0.0029595888289166944,57024.18359375,18653.794800304677,0.07698159962892533,0.0022863196266726346
11,lstm_topk_with_loss,92.54130458831787,3.2518540941126703,0.01380535252392292,0.0013718200644937844,0.11737989634275436,0.005842995386324427,129089.7609375,36004.332030912265,0.08338707238435746,0.008145991771897619
12,lstm_topk_with_loss,74.84002847671509,3.2791884657099892,0.019787588343024253,0.00055643602449341,0.14065725207328797,0.0019768574674307758,42195.073828125,11760.929157955992,0.08068902492523193,0.0035686249314997383
13,lstm_topk_with_loss,74.53415408134461,3.22645156557797,0.011961382813751698,0.0020322050260108164,0.10905446112155914,0.009253850975074128,399926.621875,107555.35979213982,0.07582612335681915,0.012377760088117916
