,user,architecture,train_time,avg_time_epoch,mse,rmse,mape,mae
0,user7,global_soft_bilstm,4.5132200717926025,4.36971640586853,0.011338732205331326,0.10648348182439804,84579.1484375,0.07583998888731003
1,user7,global_soft_bilstm,4.5002665519714355,4.3522210121154785,0.010749541223049164,0.10367999225854874,49607.93359375,0.06788603216409683
2,user7,global_soft_bilstm,4.487014055252075,4.33981466293335,0.010654591955244541,0.10322108119726181,49646.3359375,0.06839167326688766
3,user7,global_soft_bilstm,4.512645959854126,4.367639064788818,0.011576121672987938,0.1075923889875412,38609.44921875,0.07187380641698837
4,user7,global_soft_bilstm,4.516669034957886,4.3736536502838135,0.010863933712244034,0.10423019528388977,53358.0546875,0.0691918134689331
5,user14,global_soft_bilstm,4.455834865570068,4.310528039932251,0.01568717695772648,0.12524846196174622,132661.28125,0.07792405039072037
6,user14,global_soft_bilstm,4.499022483825684,4.351013660430908,0.015132100321352482,0.12301260232925415,115162.6015625,0.07434509694576263
7,user14,global_soft_bilstm,4.474085092544556,4.327528476715088,0.015364141203463078,0.12395217269659042,129902.8359375,0.07778941094875336
8,user14,global_soft_bilstm,4.4688332080841064,4.319782495498657,0.015478053130209446,0.12441082298755646,129243.96875,0.07339255511760712
9,user14,global_soft_bilstm,4.490543603897095,4.344012260437012,0.016485808417201042,0.12839707732200623,152591.515625,0.08187302201986313
10,user18,global_soft_bilstm,4.456368446350098,4.315339803695679,0.025702321901917458,0.16031943261623383,134183.9375,0.10907985270023346
11,user18,global_soft_bilstm,4.505129814147949,4.358093500137329,0.025800202041864395,0.1606244146823883,118467.7890625,0.10860113799571991
12,user18,global_soft_bilstm,4.487983465194702,4.343930244445801,0.02601260505616665,0.16128423810005188,123029.6875,0.107689768075943
13,user18,global_soft_bilstm,4.448063373565674,4.303059101104736,0.025946471840143204,0.16107907891273499,123636.7890625,0.10673591494560242
14,user18,global_soft_bilstm,4.478358745574951,4.331353187561035,0.02580350823700428,0.16063471138477325,150106.171875,0.11527781188488007
15,user22,global_soft_bilstm,4.492802381515503,4.345796346664429,0.013520712964236736,0.11627860367298126,112621.3515625,0.08091665804386139
16,user22,global_soft_bilstm,4.513493061065674,4.3664844036102295,0.0137197095900774,0.11713116616010666,117422.96875,0.08440672606229782
17,user22,global_soft_bilstm,4.5034565925598145,4.356450319290161,0.013596979901194572,0.11660608649253845,115755.8671875,0.08225494623184204
