,architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,Transformer_ED2_h4_d32,7.673780520757039,7.430955092112224,0.035487369944651924,0.00014802169007402337,0.18838063875834146,0.0003929370160646909,153777.265625,22941.15476855928,0.13359284400939941,0.0032872637066254443
1,Transformer_ED2_h4_d32,7.854902267456055,7.608188549677531,0.024108440925677616,0.0004999808585539302,0.15526336431503296,0.0016099771808861041,242914.85416666666,22201.22552979866,0.10589294383923213,0.006255216879669692
2,Transformer_ED2_h4_d32,8.34773850440979,8.063069502512613,0.026229408259193104,0.0004061924123062489,0.16195173561573029,0.0012516702033609885,74510.79427083333,17137.503589440807,0.08840914070606232,0.004833146784179309
3,Transformer_ED2_h4_d32,8.010621627171835,7.743854999542236,0.030691832924882572,0.00038077823712581716,0.17518859108289084,0.0010885136140679783,149993.03645833334,24352.994086360228,0.07702664534250896,0.004298844010685181
4,Transformer_ED2_h4_d32,7.947295268376668,7.684051275253296,0.022211650386452675,0.00020868235299133228,0.1490346391995748,0.0006992409900682236,125977.70833333333,2678.1221434259182,0.1047038733959198,0.0017383350458815997
5,Transformer_ED2_h4_d32,8.206717650095621,7.931442975997925,0.030179196347792942,0.0006409234451307923,0.17371505995591482,0.0018470422488901946,197117.53125,19641.948260396963,0.13937988877296448,0.0037986801637902414
6,Transformer_ED2_h4_d32,7.725708961486816,7.477859576543172,0.03380568325519562,0.0005750064174902403,0.18385879695415497,0.001561628161721628,97978.13802083333,14706.295307907085,0.11626231173674266,0.006279114442063996
7,Transformer_ED2_h4_d32,8.718047698338827,8.433020830154419,0.05337484925985336,0.00042978952997691123,0.23102872570355734,0.0009299100068910996,105093.16276041667,53885.4377993338,0.17156338195006052,0.00664064994209792
8,Transformer_ED2_h4_d32,8.526952823003134,8.250996112823486,0.03318448116381963,0.0015351110588256976,0.18213326732317606,0.00423440291602656,94.68775431315105,47.39862177236879,0.11229319373766582,0.009783064221696818
9,Transformer_ED2_h4_d32,7.600032726923625,7.353819131851196,0.02864530806740125,0.0008122817183778543,0.16923794150352478,0.002395700143202303,3486232.75,591496.8674323749,0.11810947706302007,0.008125414714831858
10,Transformer_ED2_h4_d32,7.7218395074208575,7.46764612197876,0.027738412221272785,0.0010619568201901824,0.16652795175711313,0.0032063033266581304,295949.75,27418.759930919816,0.12311015278100967,0.002167857246981485
11,Transformer_ED2_h4_d32,7.753649552663167,7.49485445022583,0.018774503221114475,0.00046812035423636614,0.13701303799947104,0.0017022845952747068,138999.5078125,24041.99858014558,0.09310830136140187,0.004395570272856453
12,Transformer_ED2_h4_d32,8.28317634264628,7.995698134104411,0.033065962294737496,0.0009856434757594323,0.1818270037571589,0.0027119718352150895,207328.08854166666,13796.409058713958,0.1148523489634196,0.0005294944938643251
13,Transformer_ED2_h4_d32,8.858648856480917,8.341734488805136,0.022870140771071117,0.0002161552675325249,0.15122764309247336,0.0007145373650844836,120753.47395833333,4893.415745366703,0.1048754130800565,0.001949540257975716
14,Transformer_ED2_h4_d32,8.046196063359579,7.774806499481201,0.010346520381669203,4.9211186279304014e-05,0.10171765585740407,0.0002420464528726907,152635.046875,12143.709460465738,0.05834209422270457,0.0022556732501362877
15,Transformer_ED2_h4_d32,8.464975198109945,8.195284207661947,0.023702890301744144,0.00038181255707886913,0.15395408868789673,0.0012421651996215172,162688.65104166666,27639.21976812932,0.09512223054965337,0.002860017322495118
16,Transformer_ED2_h4_d32,8.258446455001831,7.9865860144297285,0.029489974801739056,0.0008085892991198161,0.1717157562573751,0.0023471651504145246,338716.6979166667,52945.46351103901,0.11420738945404689,0.0051375421270801755
17,Transformer_ED2_h4_d32,8.345391114552816,8.057248910268148,0.021523880461851757,0.0009403239134979059,0.14668713510036469,0.0031854474057804263,174756.92708333334,52823.507896268326,0.1106665978829066,0.009822481051723576
18,Transformer_ED2_h4_d32,8.557137886683146,8.258803606033325,0.018762296065688133,0.0002506037324916812,0.13697350025177002,0.0009131277848063848,88698.36197916667,12919.921388289704,0.07706255962451299,0.0025071067122011603
