,user,architecture,train_time,avg_time_epoch,mse,rmse,mape,mae
0,user1,dense_topk_moe,19.192651748657227,1.2688886324564617,0.022160248830914497,0.14886318147182465,300166.6875,0.11126937717199326
1,user1,dense_topk_moe,21.660701990127563,1.2647879404180191,0.022769909352064133,0.15089701116085052,360673.15625,0.11394787579774857
2,user1,dense_topk_moe,16.666661500930786,1.2715090054732103,0.02361517772078514,0.15367230772972107,501497.5,0.12194202840328217
3,user1,dense_topk_moe,17.74185085296631,1.258126139640808,0.02103276737034321,0.1450267881155014,221556.703125,0.09815637767314911
4,user1,dense_topk_moe,18.923851013183594,1.2509941101074218,0.0215078704059124,0.1466556191444397,232475.328125,0.1040407046675682
5,user2,dense_topk_moe,21.446609497070312,1.2531280517578125,0.025653578341007233,0.16016735136508942,308928.25,0.10802629590034485
6,user2,dense_topk_moe,32.13240647315979,1.2303886780372033,0.025315845385193825,0.15910953283309937,305079.78125,0.1117667704820633
7,user2,dense_topk_moe,19.017178297042847,1.2593061447143554,0.026951635256409645,0.1641695350408554,332203.34375,0.11920761317014694
8,user2,dense_topk_moe,21.453341960906982,1.2507770622477812,0.026794886216521263,0.1636914312839508,368849.5,0.11126304417848587
9,user2,dense_topk_moe,17.842015743255615,1.2641510622841972,0.02527962066233158,0.15899565815925598,307308.15625,0.11325136572122574
10,user3,dense_topk_moe,37.11334991455078,1.2743096598263444,0.01942453719675541,0.13937193155288696,145067.234375,0.08894427120685577
11,user3,dense_topk_moe,28.759926557540894,1.2411850639011548,0.020730778574943542,0.14398187398910522,75362.75,0.08952406048774719
12,user3,dense_topk_moe,27.776880502700806,1.2560628760944714,0.019721293821930885,0.14043252170085907,77283.3515625,0.08530895411968231
13,user3,dense_topk_moe,26.58806586265564,1.25649398849124,0.02234748937189579,0.14949077367782593,128107.8359375,0.09855218976736069
14,user3,dense_topk_moe,28.78722381591797,1.246079621107682,0.020534882321953773,0.14329996705055237,98875.8984375,0.09109008312225342
15,user4,dense_topk_moe,20.54575490951538,1.2731434553861618,0.007978581823408604,0.08932290971279144,168699.875,0.05173087865114212
16,user4,dense_topk_moe,32.37238168716431,1.2402026194792528,0.008156009949743748,0.09031063318252563,184400.8125,0.05188407003879547
17,user4,dense_topk_moe,38.49493455886841,1.2356378493770477,0.007631276734173298,0.08735717833042145,168025.34375,0.052710965275764465
18,user4,dense_topk_moe,26.327273845672607,1.2445921443757557,0.011586086824536324,0.10763868689537048,231954.71875,0.07795412093400955
19,user4,dense_topk_moe,46.56619477272034,1.220395000357377,0.007879968732595444,0.08876919001340866,149425.921875,0.05408421531319618
20,user5,dense_topk_moe,36.8327739238739,1.221926220258077,0.02259773574769497,0.15032543241977692,647858.125,0.10905860364437103
21,user5,dense_topk_moe,51.572840452194214,1.2237518004008703,0.026144854724407196,0.16169370710849762,742648.0625,0.12594203650951385
22,user5,dense_topk_moe,18.086658477783203,1.2817170449665614,0.022723188623785973,0.15074212849140167,595475.625,0.11114086210727692
23,user5,dense_topk_moe,23.008299827575684,1.270259314113193,0.023035453632473946,0.1517743468284607,603525.5,0.11472262442111969
