,user,architecture,train_time,avg_time_epoch,mse,rmse,mape,mae
0,user7,global_soft_dense,1.9116029739379883,1.789574384689331,0.009180782362818718,0.09581639617681503,13307149.0,0.059238601475954056
1,user7,global_soft_dense,1.8874595165252686,1.7973873615264893,0.009764155372977257,0.0988137423992157,13633524.0,0.06203332543373108
2,user7,global_soft_dense,1.8937475681304932,1.7994933128356934,0.009318520314991474,0.09653248637914658,17741820.0,0.063071608543396
3,user7,global_soft_dense,1.8729090690612793,1.7558166980743408,0.010198927484452724,0.10098973661661148,20129378.0,0.06474962085485458
4,user7,global_soft_dense,1.8805749416351318,1.760824203491211,0.009782664477825165,0.09890735149383545,21207630.0,0.06717759370803833
5,user14,global_soft_dense,1.8576476573944092,1.7434325218200684,0.008640247397124767,0.09295292943716049,17887670.0,0.06015101075172424
6,user14,global_soft_dense,1.8766169548034668,1.7549560070037842,0.009327549487352371,0.09657923877239227,19320688.0,0.06398037075996399
7,user14,global_soft_dense,1.8576438426971436,1.7396821975708008,0.009515357203781605,0.09754668921232224,15718891.0,0.061052076518535614
8,user14,global_soft_dense,1.8890235424041748,1.768953561782837,0.009368832223117352,0.09679272770881653,19281562.0,0.0640697330236435
9,user14,global_soft_dense,1.889279842376709,1.7623329162597656,0.010328106582164764,0.10162729024887085,16084374.0,0.06395575404167175
10,user18,global_soft_dense,1.8886997699737549,1.762514352798462,0.013089259155094624,0.11440829932689667,18519270.0,0.07649785280227661
11,user18,global_soft_dense,1.8752031326293945,1.764613389968872,0.013332797214388847,0.11546773463487625,14113822.0,0.07189995795488358
12,user18,global_soft_dense,1.9014718532562256,1.7877070903778076,0.011584524996578693,0.10763143002986908,14649384.0,0.06992917507886887
13,user18,global_soft_dense,1.8979263305664062,1.7809369564056396,0.012043310329318047,0.10974201560020447,14056866.0,0.06907343119382858
14,user18,global_soft_dense,1.8826780319213867,1.770975112915039,0.012716049328446388,0.11276546120643616,14426126.0,0.07104554772377014
15,user22,global_soft_dense,1.9022221565246582,1.809781789779663,0.012267274782061577,0.1107577309012413,19599670.0,0.067680224776268
16,user22,global_soft_dense,1.8732588291168213,1.7453298568725586,0.012425199151039124,0.1114683747291565,14312196.0,0.06379090249538422
17,user22,global_soft_dense,1.8603441715240479,1.7575414180755615,0.012952166609466076,0.11380758881568909,18308054.0,0.06776552647352219
18,user22,global_soft_dense,1.8877177238464355,1.7655906677246094,0.012587646022439003,0.11219467967748642,13653973.0,0.06340751051902771
19,user22,global_soft_dense,1.919672966003418,1.8030829429626465,0.012384160421788692,0.11128414422273636,17181798.0,0.06599186360836029
20,user23,global_soft_dense,1.8761184215545654,1.767113447189331,0.010489934124052525,0.1024203822016716,8857189.0,0.05448078736662865
21,user23,global_soft_dense,1.8811373710632324,1.7804663181304932,0.011972136795520782,0.10941725969314575,14351952.0,0.06305161863565445
22,user23,global_soft_dense,1.8763887882232666,1.7660529613494873,0.011746969074010849,0.1083834320306778,16164808.0,0.06455881893634796
23,user23,global_soft_dense,1.8884594440460205,1.7717170715332031,0.012064128182828426,0.10983682423830032,13968937.0,0.06359675526618958
24,user23,global_soft_dense,1.879450798034668,1.7626879215240479,0.012290645390748978,0.11086318641901016,15780430.0,0.06572844088077545
25,user25,global_soft_dense,1.8686022758483887,1.755138874053955,0.011235331185162067,0.10599684715270996,15196484.0,0.0651078149676323
26,user25,global_soft_dense,1.892425775527954,1.7816088199615479,0.010874503292143345,0.10428088903427124,14120361.0,0.06405272334814072
27,user25,global_soft_dense,1.871340274810791,1.7618300914764404,0.011192596517503262,0.10579507052898407,17352584.0,0.06661272048950195
