,User,Round,CD_mae_count,CD_ks_count,RMSE_BiLSTM,MAE_BiLSTM,MSE_BiLSTM,RMSE_CNN,MAE_CNN,MSE_CNN,RMSE_Transformer,MAE_Transformer,MSE_Transformer,RMSE_soft_dense,MAE_soft_dense,MSE_soft_dense,RMSE_soft_bilstm,MAE_soft_bilstm,MSE_soft_bilstm,RMSE_topk_dense,MAE_topk_dense,MSE_topk_dense,RMSE_topk_bilstm,MAE_topk_bilstm,MSE_topk_bilstm
0,1,1,18,35,0.09270641348746522,0.069837358520836,0.008594479101708873,0.17755108650753118,0.13298763201585037,0.03152438832000482,0.1518112661076591,0.11336507837818484,0.02304666051721049,0.0859879231046832,0.06297809166232013,0.007393922919856912,0.08260435434924619,0.06011724473914618,0.0068234793574558274,0.08762485203056695,0.06429863558788927,0.0076781146933787535,0.08271818443684471,0.05934571179749904,0.006842298036527858
1,2,1,26,103,0.10365849848912097,0.07570337093252918,0.010745084309019094,0.11198114252945612,0.07481339599810778,0.012539776282202368,0.15663601542977745,0.13926855630364626,0.02453484132971748,0.10128348957695006,0.06804004235918884,0.010258345260884151,0.09941363232226154,0.06459463041440218,0.009883070291505805,0.1058392533931188,0.075324264684378,0.011201947558812807,0.1022176535931111,0.07336198363370057,0.010448448706081259
2,3,1,26,103,0.07238262376027982,0.048860052330583846,0.005239244222422224,0.10161853515523277,0.07943158265758807,0.010326326687095278,0.11681003098335577,0.08991927368998909,0.013644583338332534,0.06922299863925714,0.04431455933126054,0.004791823540610596,0.07454102220676787,0.05026241094644371,0.005556363991629861,0.072063474401294,0.04830930409276128,0.005193144342785955,0.07401701262294645,0.0537016196519153,0.005478518157625415
3,4,1,33,101,0.0924088257588719,0.052779362131533815,0.008539391078133545,0.12432392727542697,0.08600479336665878,0.015456438893185655,0.15284086511895992,0.12051581009458173,0.023360330050312097,0.08832540699926894,0.05955410504034616,0.0078013775215865075,0.08439541381235795,0.055403315073474804,0.0071225858725591385,0.08368076228276891,0.05681332340004363,0.00700246997622528,0.08407842325393554,0.05787426876732508,0.007069181256867929
4,5,1,30,103,0.0998262788503376,0.06718987099366716,0.00996528594910536,0.1279996564916456,0.08821344066502931,0.016383912061979273,0.12267783056608554,0.06905264727087172,0.015049850112401193,0.0951803989120724,0.06316749459145776,0.009059308337061233,0.10085964132993065,0.07347838459351279,0.010172667249202256,0.10395781847520645,0.08107809021846771,0.010807228022123975,0.09263816548577723,0.062196933141441604,0.008581829704570249
5,6,1,23,70,0.09105174675329188,0.06289973830168864,0.008290420586825597,0.1306021262139371,0.08298733800221701,0.017056915371601155,0.137373413393023,0.09976259013940748,0.018871454707250393,0.08937860251915161,0.062248852689284935,0.007988534588276494,0.09053094942524917,0.06507501480038658,0.008195852803837023,0.09015679597989222,0.05917128644233371,0.00812824786135991,0.08754667439419185,0.061884849891576235,0.0076644201974826465
6,7,1,26,103,0.08266878399528918,0.059788245858483725,0.006834127847259779,0.15085237672453428,0.10267267690509992,0.022756439563440815,0.14667001440305547,0.10261169620283579,0.021512093124992495,0.08366918546565778,0.0611354532002117,0.00700053259648664,0.07559957176056346,0.04961679195932828,0.005715295250380586,0.0806555099680687,0.05939348164331925,0.006505311288209229,0.08683671506860381,0.06829194973617055,0.007540615083905884
7,8,1,34,71,0.10810468730651365,0.06926526442371951,0.011686623417639094,0.14201835964730763,0.09434961210753638,0.020169214476912015,0.14218441254056083,0.09042238282230386,0.020216407169504392,0.10618081942985248,0.06766708629791159,0.011274366414794937,0.10695628335784531,0.06848289352190248,0.011439646549723698,0.1124017400124016,0.0716881413909552,0.012634151157815523,0.10544838128658408,0.06958687787335026,0.011119361115960815
8,9,1,19,103,0.13372432253652275,0.10999090499319815,0.017882194437851967,0.1316220493493515,0.11801338759142246,0.017324363874923126,0.17444225495147528,0.15106097127166687,0.0304301003125555,0.1079737473524687,0.08918939578851037,0.01165833011733474,0.11206064785109575,0.08556884678715479,0.012557588796807292,0.12491816554601436,0.10734974612839336,0.015604548083381447,0.10550518321157525,0.08854273532295658,0.011131343684508058
9,10,1,33,83,0.10151002574954486,0.060354383459226106,0.01030428532767326,0.1328202163580012,0.08077406480865078,0.01764120987338625,0.11736859404442723,0.07042233980736715,0.013775386867965561,0.0948862285924467,0.05842702915167846,0.009003396376498052,0.0929101564577775,0.057920119562750234,0.008632297173008695,0.09635381197827705,0.060497137581408206,0.009284057082745167,0.09749274406282296,0.06422506975321003,0.009504835144899101
