,Setting 1,Setting 2,Setting 3,Setting 4,Setting 5,Setting 6,Measure
0,0.03578142656220327,0.0373090782927142,0.03645200779040647,0.03633517730567187,0.0369066281451119,0.03444268947674168,MSE-mean
1,0.0016076353906191332,0.0010393347280248334,0.0026320058689673666,0.0013874486324948,0.0014608123629462333,0.0011427610756112407,MSE-std
2,0.13043572422530914,0.13672695557276407,0.13117886996931497,0.13822880552874667,0.14239345987637836,0.13150777088271248,MAE-mean
3,0.004787985779540433,0.0029846142481657,0.0019559637406289664,0.007533327837762734,0.0050591797023022,0.006353433595826155,MAE-std
