,Setting,Model,MSE-mean,MSE-std,MAE-mean,MAE-std
0,"User1: all time, weather, 1 lags",Dense,0.0343445936838785,0.0004359408570388,0.1281488239765167,0.0036923219502747
1,"User1: all time, weather, 1 lags",LSTM,0.037015197177728,0.0040527726192165,0.129294124742349,0.0100152984697551
2,"User1: all time, weather, 1 lags",CNN,0.0359844888250033,0.0003341926956021,0.1338642239570617,0.0006563369185915
3,"User1: all time, weather, 0 lags",Dense,0.0342792657514413,0.0013660956523294,0.132707749803861,0.0034738889173705
4,"User1: all time, weather, 0 lags",LSTM,0.0378794483840465,0.0008709171018254,0.1365880717833837,0.0008735407865636
5,"User1: all time, weather, 0 lags",CNN,0.0397685207426548,0.0008809914299197,0.1408850451310475,0.004606413040563
6,"User2: all time, weather, 2 lags",Dense,0.0356564708054065,0.0012888217308124,0.133021722237269,0.0012563726800417
7,"User2: all time, weather, 2 lags",LSTM,0.0373308099806308,0.0045974199178552,0.127123661339283,0.0037351497946631
8,"User2: all time, weather, 2 lags",CNN,0.0363687425851821,0.0020097759582345,0.1333912263313929,0.0008763687471821
9,User2: only time,Dense,0.0332338139414787,0.0002851046344141,0.1320341577132543,0.003242393992789
10,User2: only time,LSTM,0.0369880435367425,0.0006317736865337,0.1355626980463663,0.0033792134966106
11,User2: only time,CNN,0.0387836744387944,0.0032454675765366,0.1470895608266194,0.0159783760238886
12,"User2: time, weather PC1, 1 lag",Dense,0.0332649623354276,0.0017395944739168,0.1257493793964386,0.0037446747020026
13,"User2: time, weather PC1, 1 lag",LSTM,0.0371020411451657,0.0004016878928887,0.1469655185937881,0.0046343025189572
14,"User2: time, weather PC1, 1 lag",CNN,0.0403528809547424,0.0022411547220332,0.1544654816389084,0.0067985618859468
15,User2: only electricity,Dense,0.03146837713817755,0.0003971592458503725,0.1259024292230606,0.00010131909966854773
16,User2: only electricity,LSTM,0.03387694309155146,0.0006003346139643412,0.12592643996079764,0.009868345945569304
17,User2: only electricity,CNN,0.03798274820049604,0.0024307893670190085,0.14269444346427917,0.009090635742240616
