,Setting 1,Setting 2,Setting 3,Setting 4,Setting 5,Setting 6,Setting 7,Setting 8,Setting 9,Measure
0,0.023468594170278936,0.02097437675628393,0.0210046685404247,0.020979396998882266,0.0211019186923901,0.01956010154551927,0.019713950239949696,0.020004384219646437,0.020145350860224828,MSE-mean
1,0.0014015194483454664,0.0010886326120501666,0.0008659748353308334,0.0013128752468647665,0.0016015102746462669,0.0014474910093822669,0.0007853812235582,0.00048278797172206673,0.0008892329176004471,MSE-std
2,0.09639236993259849,0.08970942265457572,0.08778011384937494,0.08933521558841064,0.08746283749739325,0.0831077156795395,0.0833351024323039,0.08636451595359373,0.08454167346159618,MAE-mean
3,0.008757920294596466,0.0024917397834512667,0.0028812980575887667,0.004713731015792167,0.005966292422844299,0.002916915196922633,0.006648568239273,0.003697024490365467,0.00485778876603111,MAE-std
